Species,Group,Epoch,Habitat,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28
Allenypterus montanus,Actinistia,Mississippian,Marine,Bay,-0.571747949786078,-0.0812122300922872,0.118107186811342,-0.0857710343545102,0.0052422854981931,-0.0256687214527902,-0.0311943280615709,0.110327543650726,-0.00198865766754167,-0.0783766441258863,-0.00895458600265297,-0.0599800953974693,0.0414686520303245,-0.0137248201646176,-0.0222770966350728,0.0520961702786085,0.0100289509581561,0.0264731283835602,0.0036068623903647,0.00201190691457338,-0.00740811206310886,0.00687589794737441,0.00333372802351264,-0.00479502469734523,-0.00172055409332479,-0.00376610978338565,0.000881852093516301,0.00135470336166179
Barameda mitchelli,Rhizodontida,Mississippian,Freshwater,Other freshwater,0.0443555264298328,-0.0380617468612689,-0.0546212550397835,-0.177029502816658,0.0132801371228348,-0.0688953298463957,0.0165729261801686,-0.0343065027750308,0.0914079047928192,-0.0509340255117203,-0.0325644631862943,0.000230050030166009,0.0182213150803315,0.0166672643925021,0.0230341152893185,-0.0415286725498667,0.00114500027720633,0.0156630955187747,-0.0255248689032367,0.00564988834782253,-0.00983418554119318,0.0132543472219741,0.00438960182329405,0.0160548665639516,-0.00324730037732327,-0.000506218975454347,0.012404855781376,-0.0046352990741448
Beelarongia patrichae,Osteolepiform,Upper Devonian,Freshwater,Other freshwater,0.129077911467478,0.105486274670794,0.00397272023938608,-0.0166408381935869,-0.0423530475980355,0.0666334700606327,0.0880838799029841,0.019504529814308,0.0248437585619199,-0.0680203926727234,0.0592995645009485,0.0229419721288439,0.0217962802968873,0.014929832604332,-0.0404220958749362,-0.0232296098728559,-0.00564362633433421,0.0123885051176413,-0.00219900001524438,-0.0283785994901385,0.00720985665186808,0.0144331869161889,0.00977451001964615,0.00573006461272351,0.00288584266059692,0.00379514510012529,0.000434650326230379,0.00515661535794686
Bruehnopteron murphyi,Osteolepiform,Middle Devonian,Marine,Other marine,0.0937577271514425,-0.0131244233800147,0.140068676088581,0.0210886849463111,0.0375295657801812,-0.050319066061416,-0.0496504136645207,0.00136730694376148,-0.0175971134292408,0.0758460707935412,0.0181345114013272,-0.0476644260016681,0.000867382791341841,0.0252446286361617,-0.0124870854186581,-0.0193200160302172,0.0135686481509196,0.0287056809453711,-0.0164051317221361,0.0315073698272126,0.0221156107136039,-0.000677476166637836,0.00384782439311659,0.0106129386426592,-0.00434575623943346,-0.00167109400255147,-0.0157270813952102,0.00822988740072018
Cabonnichthys burnsi,Osteolepiform,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.147508991499779,0.0169471596541031,0.0439903629899517,-0.0194555802227647,0.0527357083247334,0.000785753744908531,-0.0282971137232567,0.0165166453975019,0.0128554607933765,0.0469799796729258,0.0101299879001519,0.0100195243948107,0.0470455461127135,-0.0113860798288326,0.000802228046767798,-0.00738410629661777,-0.00212957997807972,0.00419217989426274,0.0538346705574302,-0.00363099789584399,-0.00144186159172242,-0.00119288649719341,0.00840701511772019,0.0209276249121075,0.00446571683605022,0.0119105997844889,0.00150582381728281,-0.00155405834303408
Canowindra grossi,Osteolepiform,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.16102498342568,0.0426884508932132,0.0297093058170055,-0.0331838136810579,0.033327733664734,-0.00571554794010042,-0.010511284421128,0.019102025364038,-0.0258936392732092,-0.0195295972947064,0.00674767610844811,0.012232711358433,0.0227816176574369,0.0190327305963797,-0.0371719845552098,-0.053579179396006,-0.016099828855898,-0.000871699963969167,0.00791457506368637,0.00389871593615632,-0.0357447488005661,-0.00046582664827329,-0.0220066285198025,-0.00858772407678225,0.0102270726590341,-0.0176830930405193,-0.0101345694334883,-0.00474110581132393
Caridosuctor populosum,Actinistia,Mississippian,Marine,Bay,-0.0412034427728329,-0.0556248391132706,0.178599037272566,0.0882046383615727,-0.040529302414592,-0.0560360786517508,0.0528329358038882,-0.0717372880729902,0.0598581612634297,-0.0228386673053306,-0.0639935173821063,0.0231450750244797,0.029015779762663,-0.020483727209854,-0.0216087815711345,-0.0209686537655752,0.0299845790419104,0.000347424250739211,0.00677965507144399,0.0311613865515164,-0.00533821181531152,-0.00364408637537426,-0.000598133975434624,-0.0122606368676221,0.0194061774214987,0.0124784599347655,0.00581845359906422,0.00510077373459229
Claradosymblema narrienense,Osteolepiform,Mississippian,Freshwater,Lagoon,0.0262759465311807,0.00323722059291238,-0.0938106189058591,-0.0172584338258102,0.0276219641126389,-0.0436521171603488,0.0843945907294107,-0.0934701430795515,0.0815140007607262,0.0207032508674677,-0.0266044221166747,-0.0845024582921076,-0.00211442212656621,0.000366454757795795,0.0315653124089692,0.000374695027265675,-0.00981251324936713,0.0087237147887023,0.0218637250722941,-0.00281445170599802,0.00953475057857437,0.00909309613661662,-0.0147330106740273,-0.0133485318538352,-0.019464879155335,-0.00433133816931112,-0.00265610045774286,0.00487381305526116
Diplocercides heiligenstockiensis,Actinistia,Middle Devonian,Marine,Lagoon,-0.263071323190919,0.245786029952599,0.00960727739684777,0.0993538453813648,0.102458921544247,-0.0650919302830312,-0.095094167594713,-0.0353363358354543,0.00720012588078865,-0.0632303261345574,0.0774414524331409,0.0142447472473482,-0.01448042157051,0.0413224391225889,0.0408831392797907,-0.0119015707210976,-0.0108619122868665,-0.0277631757628225,-0.0107963165889086,0.0166640293383052,-0.000238539259640968,0.00525162969524279,0.00603579072657469,-0.00186370155224129,0.00203677161100374,-0.00402922533764156,0.00840490468075725,0.00541464360298166
Durialepis edentatus,Porolepiform,Lower Devonian,Marine,Coastal marine,0.0234258771012531,-0.0494095248191925,-0.154403681210818,-0.0302285459481617,-0.0504982297747205,-0.0461714653059685,-0.0338292705562009,-0.0325167313961222,-0.040702945209117,0.0478949717199182,0.0355201763862232,0.053933749203844,0.000190899051575265,0.0195080310887293,-0.0266659337000253,-0.00339550642925149,0.0402474665452894,0.0427402920030853,-0.014467789509248,-0.00696911710805676,-0.0236728623078858,0.00695528469458521,0.000931965563616511,-0.0083305475353605,-0.0107756671176929,0.0064886236914151,-0.00096397169194593,0.00315810018895714
