Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28
Allenypterus montanus,Bay,0.558566676202695,-0.0853442505406621,0.12168503619541,-0.0842848157589823,0.0139895739928906,-0.0255842729966471,0.0396255249358145,-0.128860149485852,0.0678951683817802,-0.0218381395836504,0.0272081778738881,0.0120166340719774,-0.0498734753570556,-0.0239555077518419,0.0293758396259238,0.00944449129986347,0.015808948299485,-0.00602443268565391,-0.00161579659978544,-0.00897251756743153,0.00661367982871109,0.00231605962435762,0.000860239620286023,8.88550996229094e-05,3.4021247910819e-05,0.0012043738604966,0.00263389231506228,0.000519322878646696
Cabonnichthys burnsi,Oxbow lake/meandering river,-0.159188574827705,0.0412451926086667,0.0387906537920798,0.0259001935120336,0.0287881319487236,0.0380810815726885,0.0514720646990477,-0.0216086147675415,0.0123893701143977,-0.000678783968153231,-0.0239761886093317,-0.0493782043969629,-0.0257865194672549,0.0183684556315257,-0.00497444688257699,0.00555271877514623,0.0355581133475814,0.0268112918105048,-0.00809879611016361,0.0153346459864163,-0.0167720311350419,0.00372848006554272,-0.0142826907068775,0.000880769741194334,0.00205072092001815,-0.00124144508611423,0.00305860565276165,0.00243107899167025
Canowindra grossi,Oxbow lake/meandering river,-0.170548875707451,0.0622444443299238,0.0312745516950425,-0.00558816134826425,0.0140177254642847,0.017081281191516,0.0483593301515051,-0.0228964556072919,-0.0244737614296745,0.0161991886777018,0.015321525049025,-0.000970403200217553,-0.0295583343180621,-0.0103745912043701,-0.0204906314530157,-0.0791215851222908,0.0190040050429954,-0.00839512136889374,-0.0209097201561054,-0.0109795350117712,-0.0116362326622937,-0.00928522228608741,0.0120816357666076,-0.00146344436129776,-0.00400145208782314,-0.000110608844970137,-0.00347412062466527,0.00111797447926924
Caridosuctor populosum,Bay,0.0245524807598721,-0.0322079668756706,0.180588897372629,0.0268296418678985,-0.10225898106688,-0.0331756893275468,-0.078656467047805,0.0679132944381809,0.044221288420328,0.0435686820802129,0.0136292212220062,-0.0524180439177086,-0.0253251739195596,0.0108085699182513,-0.0357092358319415,0.00365102949648333,0.0104693701178191,-0.0177760219315986,0.0147067485208804,-0.0188653681900876,-0.00329400009863345,-0.0126127616518844,-0.0128847322600456,0.0117946877462556,0.00235714044948343,0.00222681409574959,-0.00146149841731666,-0.000499765465363771
Claradosymblema narrienense,Lagoon,-0.041193704509426,0.0117760953293527,-0.0813753116313823,0.0140121444756199,-0.0168285633178387,0.0711358211393117,-0.0446399526373412,0.0893793547751283,0.125110729235865,-0.0342151750350633,-0.00394565817045892,0.0540972442797698,0.022428701234614,0.00791924415740934,-0.0135415366314886,-0.0221832648738851,0.0336448620822299,0.00572211758277249,0.00989038486297023,-0.00317459674595256,0.00784638815673124,0.0117936266375018,0.00538373849848153,-0.00442537718563476,0.00132044265584674,0.00461975930054486,0.0016055906640281,-0.000368597433667317
Diplocercides heiligenstockiensis,Lagoon,0.26296584387342,0.236942175918247,-0.0190552014902905,0.120761254715248,-0.111697215748146,-0.0416723663929727,0.115307845530451,-0.00134691172464393,-0.0430776817133676,-0.0560872183552378,0.027548914939061,0.0194791577034295,0.0411683057104551,-0.0128227886486403,-0.0276084864978431,-0.00757958250762827,-0.00389276687607868,0.00761149832177645,0.0130569822308782,0.000377813021524063,0.00687250548171916,-0.00336751970655536,-0.0033673215626621,0.00868858023555237,-0.00300313869765447,0.00232396186386673,0.0038626090843669,0.000505798889911285
Durialepis edentatus,Coastal marine,-0.04249447462791,-0.0402007071549927,-0.15806206473138,-0.0803267986047473,0.00576133137280905,-0.0110154320278697,0.0245423690075316,0.0498980878394646,-0.047856312025714,-0.00251460047946398,-0.0245776691734597,-0.0484198979589106,0.0026125873979208,-0.0289972136020143,-0.00250538949269952,0.00291748195876117,0.0153162499579712,-0.0434519260518095,-0.0127005057305232,-0.0243472545378898,0.00537730722880496,0.0213343213100643,-0.00410430315928703,0.000175478032789504,-0.00585520313534648,0.0014499746661281,0.00477896353628285,-0.00025201559634158
Eusthenodon waengsjoei,Alluvial plain,-0.143924850493796,-0.00636170194904122,0.0403824814959728,0.0363102947253843,0.0118708936296868,0.0716067780524706,0.0575782819274594,-0.00675673939751629,0.0258867498770316,0.0249169858650916,0.0216949202708008,-0.0174869875721149,0.0324069631410234,0.0110803201990428,0.0220579605520504,0.0493562650035619,0.00204111581902912,0.00986048254438664,-0.00853793717867267,-0.0127602121868841,-0.0057362342477904,-0.000502375159686711,0.0142982914885753,0.00505048021908751,-0.0174713987467174,0.00843424849836764,-0.0043662540012972,-2.72590988113774e-05
Eusthenopteron foordi,Estuary,-0.131198372661037,-0.0018751071115849,0.0736567127464331,-0.00120123592572777,0.0336165221603258,-0.00306217128466308,-0.0118427780973567,0.0131342289713679,-0.018871438116336,-0.0147434407417438,-0.0369094216225189,0.00750026647818221,0.00872297414389462,-0.013878581050946,0.00809395823182366,0.0146493951999914,-0.01187146158783,-0.00921847822728269,0.0235850602859691,-0.00220115651263317,0.0164614267546709,0.000446304124912572,-0.0166327310486328,-0.00462517387624918,-0.00803239452774349,-0.00466027757553738,-0.00372525466478735,0.00278841581399241
Glyptolepis groenlandica,Alluvial plain,-0.0233446656410978,0.0721354887882138,-0.18601477935165,-0.113957590110148,-0.0294693307581945,-0.0778673610124612,-0.00240367167229365,-0.0453736032739591,0.00372143664030682,0.0236958861419022,0.020561144037319,0.0129140119178841,0.027354175290613,0.0955967899614883,0.0310877523808337,-0.0125843910645945,0.00752246962236997,0.00424607664640446,-0.00501274255280728,-0.00400303334934137,0.00586609692779248,-0.00635912785728633,-0.0153994828522522,0.0018708474120915,-6.90446102969752e-05,0.00227727279146419,-0.00188888157481074,0.000132454494543568
Gyroptychius agassizi,Calm freshwater lake,-0.13782664088885,0.0309945222305811,0.0152116823838563,0.0073701142765344,0.0162899887937576,0.028430257388903,-0.0339170536838114,-0.021289645930445,0.0433019080691932,0.0446182455793102,0.0150402006963086,0.0164152466617195,0.0171734817941562,0.0108007533193069,0.00364348558181154,-0.00663016065128566,-0.00875644280674866,-0.0198657033056752,0.00158774469261002,0.0181587628702845,0.00556786492701758,-0.00965016705492259,0.00727657622705208,0.00564076785742544,-0.0116697094311391,-0.0162775434949453,0.00654738604750571,-4.85011453065648e-05
Hadronector donbairdi,Bay,0.329060254394177,-0.0504985218998856,0.15869098649235,-0.0325996173649135,0.0127707344350943,-0.109659431942679,0.0172576502015492,0.0951497226168114,-0.0337229881360735,0.0360518252982809,-0.0323829205658037,0.0144732740357565,0.0313960034942197,0.0020029797813219,0.00734289423212917,-0.00709960975768307,0.0236945979689698,0.0350093601468702,-0.00775674105821919,-0.0019605625130929,-0.00372289557455287,0.011138665944425,0.00276456438588036,-0.00621108061008756,-0.00495146475289464,-0.00790917279489577,-0.00163611130317554,-0.00155783012048508
Heddleichthys dalgleisiensis,Dynamic freshwater lake,-0.0992529810133745,0.0100831225953563,0.110533044455242,0.0109613708328236,0.0339297730534291,0.0282698111480286,0.0226828795780396,-0.0212585641243477,0.0156969345917067,0.0288299666044089,-0.00870079662728196,-0.0330707317391916,0.0338216508284521,-0.0231236987466265,0.00990175464247395,-0.0198687833533624,-0.00520223733825921,-0.00744475202539027,-0.0156381131287565,0.04453979537302,0.0127737532756459,0.0104604330022588,-0.0130818032203291,0.00257597816975581,0.00320039993837612,0.00821988536219836,-0.000133497042113992,-0.00162948324117021
Holoptychius jarviki,Estuary,-0.0170643633614753,-0.158516431092963,-0.180603622849981,-0.0277932349001209,0.0558370884190637,-0.00158226678985423,-0.0332545541366207,-0.00881654681992185,-0.0246254037799724,-0.0115290340329561,0.029838090407689,0.0106358186523135,-0.0388525877249419,-0.0238906898721138,-0.0708590269641262,0.0275586683569835,0.0193250404689152,0.0303883598846775,-0.00630962701149143,0.0121134436652395,0.00849229518781427,-0.00999359189041779,-0.00628331126199076,-0.000501113789746259,-0.00564416092483834,-0.000479452546078917,-0.000157873156708594,-0.000708355820824362
Jarvikina wenjukowi,Estuary,-0.196651838065642,0.0534682465901687,0.0256365905720683,-0.000721550529589929,0.0659870250324369,0.0201914293005413,0.0189011310579671,-0.0909652695039684,-0.0114999593508482,-0.0138608769112939,-0.0182194662112611,-0.0315478722871761,0.00248657941283702,0.0397178639510091,-0.0250207242772479,0.00542747556878592,-0.0031085189078402,0.00997643025807549,0.0365586149666091,-0.0130207306988981,-0.0119073187771838,0.0196420361191707,0.00899703434499238,0.00384959523855934,0.00685731605056582,-0.00408765661743452,0.00161620202961786,-0.00165564435280346
Koharalepis jarviki,Alluvial plain,-0.172682091800493,0.0296399688804745,0.0688691258577273,0.0112422319599738,-0.0114391656595466,0.0167060835000405,-0.0349903653403393,-0.0273510481070137,0.0116889439419865,0.000870690405457476,0.0284648626619442,0.0339661417090727,0.000796865490044858,-0.0150637756886098,-0.00430006856926618,-0.00787821861934008,-0.0504961496393471,0.0148164840660617,-0.0125265104233528,-0.0225465413076943,-0.017069799602946,0.00244975106106826,-0.018939819464564,-0.0181292194926383,-0.00429588754463798,0.00264864992956265,0.00409191913087737,-0.0010737566658456
Laccognathus panderi,Lagoon,-0.112076298617869,0.0446632582113699,-0.0392810155906217,0.0404811044922639,-0.0383512016722488,-0.145406214972097,-0.121901485890599,-0.0307022701201394,0.0117178264606709,0.0211584143063979,-0.00338896556495306,-0.0347264182140556,-0.00847410418074141,-0.0104542809346552,-0.0022308194469007,-0.00026824106605018,-0.0270377530085129,0.0204524386463567,-0.0127226513460265,0.00442726578337742,0.00928272131801738,0.0112115166575432,0.0195936797164267,0.00270171714549803,0.000884700612200915,0.00487393634415911,0.00219396956716081,0.00186846007114415
Latvius porosus,Calm freshwater lake,-0.0846751048204333,0.0330228096172956,0.0463511782355764,0.0731025773516956,0.0233004891926356,0.030346514861092,-0.00377038023401178,0.0126360744717876,-0.0783594468484676,0.0783546967307301,-0.00992424695713692,0.0479784386424552,-0.023288355668953,0.0139285856128818,0.0245714841192975,0.0239173825785818,0.0259020769693746,-0.00597404635601199,-0.00132133889817755,-0.00626791834737443,0.00932265125104894,-0.0143577772936703,0.00578502397889903,-0.00426205081339825,0.00882406460491292,0.00570572875162647,0.00600505974216037,-0.000681344019912291
