Species,Group,Epoch,Habitat,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30
Acanthostega gunnari,Tetrapoda,Upper Devonian,Freshwater,Alluvial plain,-0.155083668790288,-0.0989918899767871,0.0852823666075101,-8.30716787262814e-05,0.0807817817693081,-0.0110179540732336,-0.0232628498392977,-0.0173096329994447,-0.0102148170478414,0.0117989172663213,-0.0196285919265542,0.0141673787807789,0.0102752425709341,-0.0454246269422204,-0.0142720154576497,0.00445431568717693,0.00867557620761508,0.00249167555243874,0.00324594388013826,0.0012284682168418,-0.00109323879689135,6.72172208388347e-09,2.52267588329164e-09,1.70019474228511e-08,2.92970945506982e-09,-9.74889916710575e-09,4.73166069173137e-09,1.23501594107706e-09,2.623842617136e-09,-4.3863952053913e-09
Allenypterus montanus,Actinistia,Mississippian,Marine,Bay,-0.0959602197946103,0.104061977870256,0.16907583177058,0.134551447965171,0.0168134552298481,-0.04814126519484,0.051321009717209,-0.00682040249450917,0.0183064033499279,-0.000331004081344801,0.0177496806526123,0.00771504171076546,-0.0195144059874125,-0.0280968271499226,0.00570470095689879,-0.00260513927825808,-0.00262423747293194,-0.00794832117376716,-0.00152130368671539,-0.0011470712943656,0.000670480169673594,1.97716917746914e-08,8.14240444556649e-09,-9.78718811854226e-09,-1.01876691110947e-08,6.32602846939879e-09,-2.41904619707918e-09,-4.97121769226991e-09,1.35586097991386e-09,-3.20130878186595e-09
Anthracobamus fayoli,Tetrapoda,Pennsylvanian,Freshwater,Calm freshwater lake,-0.212486535343978,0.0694244423700936,0.0439425469819915,0.162071086517303,0.0283267187328915,-0.023848134997621,-0.0654399509885823,-0.0355689892915036,-0.0394304027731957,-0.0105942109628666,-0.0167111819601281,-0.00643823126194155,-0.0323345571580776,0.00463890892193734,0.0122741759072092,-0.00761106661097774,-0.00195344733022103,-0.00614756086681329,0.00491128023718622,0.00576925224304096,0.00152636736681014,-3.45447863628248e-08,-3.41483981630003e-09,-1.88690418932019e-09,-1.04563496498497e-08,6.52177940016312e-10,3.20042459439444e-09,2.72936531990793e-09,3.04833364279944e-10,3.52841839838629e-09
Balanerpeton woodi,Tetrapoda,Mississippian,Freshwater,Calm freshwater lake,-0.234976776319883,-0.0379432520781417,-0.0622130746461677,0.10727792936661,0.0985089903797867,0.0416646778079767,-0.00441832698712248,0.0139562515134015,-0.0303145607094032,-0.0306782972481348,0.0102268550804208,0.0114961028633439,0.0349649818028397,0.0325747660492035,0.0127781820768142,-0.00591447216214569,-0.00660367453911106,-0.00341450392167828,0.00247452048866017,-0.00227820389379352,0.000371118499751364,-6.91019458017375e-09,-1.05735590057859e-08,7.07888648567023e-09,-1.15734019590086e-11,-5.53691686228618e-09,1.19402882112901e-10,1.37797846744281e-09,5.55970661522687e-09,-2.20929043115436e-09
Baphetes bohemicus,Tetrapoda,Pennsylvanian,Freshwater,Calm freshwater lake,-0.269594841784574,-0.0860506535912305,0.00353427620344771,0.0394103450223555,0.134410113915327,0.0107247785304905,0.0542989649305162,0.031919689852264,0.0434669163223848,0.0317235743184522,0.0240582212278252,-0.0112114272374413,0.00502699184391058,0.00826699651680473,-0.0118400895461152,0.00391541352808673,-0.000879964377737287,0.00582535742446217,-2.33653469852868e-05,0.000745651058681769,0.00048105163130465,-3.4534986664554e-08,-5.06581629682729e-09,-1.52603481760882e-09,5.47729887617407e-09,7.69218570767895e-09,-6.4691712861175e-09,-8.20762902043956e-09,-7.24305697537286e-09,1.75657066669999e-09
Barameda decipiens,Rhizodontida,Mississippian,Freshwater,Other freshwater,0.201238822957514,0.060265204501603,-0.0174657054926612,0.0405595823676134,0.00601237239511985,0.0476503733566552,-0.00567009743484541,0.0174125965589946,-0.0307802582549888,-0.0459650750512258,0.00301774428332208,-0.0297393512447202,-0.00458342438568896,-0.00876111350171972,0.00670663937431885,0.00850396332437367,-0.00238306891762658,0.00347660836040272,-0.00275228956345081,-0.00323053613706463,-0.000415465737227636,-1.56553736174823e-09,-2.57317350966287e-09,-1.4908169616119e-08,8.39411657858283e-09,-5.21268922077929e-09,-3.99580396467101e-09,-2.6656231982467e-09,-4.96114959335457e-10,5.05810288551028e-10
Barameda mitchelli,Rhizodontida,Mississippian,Freshwater,Other freshwater,0.199449447296597,0.0721507039957088,-0.014069764711927,0.0417917312286885,0.00232030609480329,0.0386134894653097,-0.0076195179747681,0.0209060564877201,-0.0323021379749295,-0.0481381712260615,0.000906311128364479,-0.0307872696699993,-0.00371362979254113,-0.00865891989110434,0.00719611672694103,0.0054559805719504,-0.000559143912511446,0.00593939739381193,-0.00249367776459538,-0.000152185175152704,-0.00040836302889973,-3.33684939564632e-09,-8.80872225855756e-10,-1.03795308931988e-08,1.13942736016791e-08,-2.0634290051082e-09,-1.31273864912088e-09,-3.26713630867219e-09,-2.95878705086974e-09,-6.71195183335688e-10
Barwickia downunda,Dipnoi,Upper Devonian,Freshwater,Other freshwater,-0.180611711013275,0.0859741118699696,-0.0326753301627585,-0.0303800179526897,-0.0745309971436142,0.0655692584598906,-0.0178562346426064,-0.00957907485515701,0.0199905937881365,-0.00186917319005286,0.0195112921825352,0.00396721768066264,-0.00206143944527791,-0.00686994337856281,0.000718690031055299,0.000134164740663269,-0.00392471807141271,0.00678963106663926,0.0189776842201811,-0.00192820439501643,-0.00262330444096601,6.41459892408019e-09,-2.89539679558526e-09,-2.50123007462105e-09,-7.44649771098477e-10,-3.76586189142214e-09,5.33278142499961e-09,-4.53646855952568e-09,2.92449015134796e-09,7.72620150875977e-09
Cabonnichthys burnsi,Osteolepiform,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.0385133820719913,0.00737839637572562,-0.117780963640419,0.0449462931554225,-0.0508362159069266,-0.0941990188373211,0.024353193322628,0.0354761212917645,-0.0187049361639982,0.0195543783364016,0.00917475687556749,0.00996830211457797,-0.00774791579937848,-0.0151858211711784,-0.000481651364061985,0.000102261074591883,-0.00416959715067354,0.00624762804136619,0.00425647260950542,-0.00518018124166572,0.000829027375458724,-1.71725534157258e-08,-5.57875915341982e-09,-4.91586319220638e-09,-5.33083971930581e-10,-1.80904414007459e-09,-6.06115119097632e-09,9.1976714712387e-09,-7.22723815255871e-10,-1.44077788512709e-09
Canowindra grossi,Osteolepiform,Upper Devonian,Freshwater,Oxbow lake/meandering river,0.117541193112452,0.0318010076560577,-0.0657080457632382,-0.0122521472582848,0.0129931375076833,-0.0112778531684405,-0.0740031476768006,-0.0443672173261223,0.0578369550271889,-0.0351419638844784,-0.0134008743341111,-0.0309722566608533,0.0283714082848851,-0.0101958400531218,-0.00288296805642176,-0.00305345585271866,0.00203819232729159,0.00962650227447619,0.000900810801288934,0.000616347508802204,0.000727550313925107,-1.98024272972169e-09,-6.63395158538626e-09,-1.3837879697361e-09,-5.60788761217942e-09,9.85044498224473e-09,-1.62139644833731e-09,-3.09405896563308e-09,1.17993616017154e-09,-6.23200825322569e-09
