Species,Habitat2,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29
Acanthostega gunnari,Alluvial plain,0.147624083019457,0.0814013609438559,-0.0838347845453822,0.0107974541600188,0.0751034162621215,-0.022909443064895,0.0198786657393988,-0.0165279604128127,0.0159021658626548,-0.0048904911388088,0.0205334041450502,-0.000666381739224711,0.0335160753788677,-0.038151645413179,0.00868677116054954,-0.00525052506459182,0.00466021673332847,-0.00550898383034248,0.00170339256488661,-0.00111149062440143,0.00112187837819195,1.70610329683352e-09,5.48486676042736e-09,2.12643262425399e-08,6.36491928390423e-09,9.56897377633013e-09,5.47866822958945e-09,4.56278753929035e-09,1.75368058399558e-09
Allenypterus montanus,Bay,0.0801919633604229,-0.118915301588342,-0.170237478973757,-0.126807084020151,0.0117536794269506,-0.0344564715647008,-0.060190563377566,-0.00484370333358002,-0.0114089423495963,-0.0115980625551098,-0.0187329780285648,-0.0157783002246776,0.0100648998819215,-0.0234637727233698,-0.010174382707873,-0.000123270926333689,-0.00968793528365661,-0.00104004144289967,-0.00271546946849717,0.000854283665251531,-0.000593267731013776,2.53794489007541e-08,6.73393502417796e-11,-1.12240640818065e-08,5.30502342153006e-09,-1.00335987971876e-08,4.34582203307377e-09,-3.359933761337e-09,1.66950637732824e-09
Anthracobamus fayoli,Calm freshwater lake,0.202253672506106,-0.089044543699226,-0.0484158553067307,-0.152259678118928,0.0249454864779497,-0.044455240701639,0.0668681987061927,-0.0205552351675003,0.0231573133989707,0.0149336867752114,0.0115397041674457,-0.0333624514400632,-0.027560044626062,-0.00314126834121173,-0.0144467895776309,0.00184069484410436,-0.00548459592715567,0.00190633437767613,0.00298357367741197,-0.0043676368936142,-0.00159561246637682,-2.32103137894242e-08,3.30873792123501e-09,-5.60382662235376e-09,2.52108867484536e-09,-5.09919285236141e-10,9.35658899968092e-10,5.11684278975411e-09,-2.18639598504981e-09
Balanerpeton woodi,Calm freshwater lake,0.232344238674697,0.0158851731642855,0.0600561454453674,-0.0934357052943127,0.100890125989641,0.0271003635909505,0.00777530811911941,0.00793454157210829,0.0178427170314811,0.0629845313387515,-0.0012175998077478,0.0197409168055927,-0.00937459635016188,0.0290210340838627,-0.0103358100235064,0.00526105940795052,-0.00290306841197216,0.00132945614958809,0.000834660003095385,0.003393968117683,0.000411207901031549,-2.22236651095664e-08,-3.90369704443561e-10,4.53835172740946e-09,-2.35089016092579e-09,7.8627528317431e-09,-1.63661289815514e-09,-1.51747493997573e-09,4.82329566651313e-09
Baphetes bohemicus,Calm freshwater lake,0.266196251867885,0.0618108669665324,-0.0036087933506886,-0.0236138787665856,0.13396193818778,0.0195606286169458,-0.0642982664061305,0.0157027972125569,-0.0121657641882272,-0.0376828269475035,-0.0215400561383306,0.0151413624033985,-0.00163980616611677,0.0104940195050367,0.0191749794061991,0.00322680381411138,0.00475797148973038,0.00312270229965296,0.00137928522792022,-0.00161153536365742,-0.00166552196530261,-2.66731277917629e-08,-4.14311373988889e-09,9.32992806276789e-11,2.18495242797039e-09,-9.26828077994898e-09,9.38197535068838e-11,-5.74890178994467e-09,-4.00162710779972e-09
Cabonnichthys burnsi,Oxbow lake/meandering river,-0.0537598112503292,-0.0153887932537069,0.121209636755031,-0.0524001814627598,-0.0530536642494011,-0.0720341476610516,-0.0400847588804645,0.0451821207391963,0.0271992520556433,-0.0152071104539559,-0.00704368321894073,-0.00909656323756941,0.0110711961519252,-0.00992132806913708,-0.00194334853822812,0.000368000248119242,0.000652759242242318,0.00765613712644312,0.00464732147105349,0.00488916459984407,0.000357951004843315,-1.30362314198704e-08,-6.87935403087536e-10,-5.2606380588488e-09,-3.12163134686023e-09,2.25762344908086e-09,-1.28196755951656e-08,5.96474221577215e-10,1.03247486883846e-09
Canowindra grossi,Oxbow lake/meandering river,-0.131819476426368,-0.03735310649818,0.0699210067301336,0.0117960078567676,0.0160913709632155,-0.0261643265117646,0.0690499386373154,-0.041494456567602,-0.0668998142133067,0.00721383961703561,0.00935512195589903,0.0339452442961407,-0.0149860258946401,-0.0178750113321149,-0.000606643006251752,0.000510655426042302,0.0100231543956308,0.00526915715499595,0.00292063868548134,0.000161080516724288,-0.00031396244179931,-1.96126885110108e-09,-1.3104869712755e-08,-9.33641661850010e-09,-1.43514849971441e-09,-6.17347927442605e-09,4.02882980458702e-09,-2.89465428699159e-09,2.7342593917365e-09
Caridosuctor populosum,Bay,-0.190038769147705,0.13148528450441,-0.0682986991998366,-0.00780226724245167,-0.00310896041423855,0.0592172957592096,0.00107553167317219,-0.0211012347220708,-0.00574960212550825,-0.00907470361608867,-0.0134318001921224,-0.0170161798317978,-0.0191031214631284,-0.000142098207864917,0.00937772651073416,-0.00378212403673704,-0.00426552712791555,-0.0029512008992843,-0.0104316333002814,0.0025323091004316,0.000750022859028541,-2.41939889502815e-08,-2.10313281651109e-08,2.02321984166254e-09,8.3368079542654e-09,-6.6171074251508e-10,-6.61098992584853e-09,4.66958520375232e-09,-8.6973320776243e-10
Claradosymblema narrienense,Lagoon,-0.21259380867395,-0.0266079465457763,-0.0119814104253575,0.0419588722510939,0.00406484208188673,-0.0150594711439036,-0.0253787728849323,0.0181582487692241,0.0319658852315015,0.00497550169088598,-0.00601039948433779,0.00816378525175981,0.0101531896009299,-0.010421541151361,-0.0115866884211136,0.00517915174620102,0.00413749246211762,-0.00484172216528985,0.00278785560763069,0.000705923207732768,-0.000795186297118231,-1.50874197748889e-08,5.31062509159103e-09,2.86678327431067e-09,3.76970075944769e-09,6.57948268578071e-09,-5.55630905272209e-09,5.52498220351277e-10,-2.94556152255834e-10
Dipnorhynchus sussmilchi,Reef,0.239615695497525,-0.166459063826902,0.0743914560928673,0.0578994757364209,0.000762640843724955,-0.0550964203128781,0.0239723969735805,-0.0132701234799224,0.00991287950141216,-0.0447024147118057,-0.0110487235520565,-0.00127995871327917,0.0188400336966758,0.0152616389701235,-0.0151403405699993,-0.0182249732435892,0.0056196959126786,0.00891741535314731,-0.0103336756264717,0.00090101068661391,0.000254716909059735,-2.94920790800887e-08,-4.909902023148e-09,5.00059000110853e-09,-7.98059392442124e-10,5.36196096941402e-09,6.1607978258868e-09,-1.95672147148412e-09,6.79778359470584e-10
